current URL,HTTP status,indexability,canonical,language,title,H1,main topic,internal links,external backlinks if discoverable,old equivalent URL,proposed action,target URL,redirect type,reason,quality category,recommended action,visible main-content words,content fingerprint
https://camelotflows.dev/contact,200,indexable,https://camelotflows.dev/contact,en,Contact Camelot Flows | Brief a Web or AI Build,Tell me about the work.,Workflow diagnostic and project contact,incoming 264; outgoing 41,Not discoverable from public crawl; verify with Search Console/backlink export,,REWRITE IN PLACE,https://camelotflows.dev/contact,none,Core commercial route in the focused EN/RO/RU architecture.,CORE COMMERCIAL,,344,2c46a4c9810734a7
https://camelotflows.dev/custom-premium,200,indexable,https://camelotflows.dev/custom-premium,en,"Custom Premium Website — Bespoke Build · From €1,200 | Camelot Flows",Built for your brand. Runs on intelligence.,Legacy website service offer,incoming 5; outgoing 36,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/custom-premium,none,Preserve the existing intent and search signals as a secondary or footer route.,LEGACY WITH ACTIVE VALUE,,914,f7012dd3ab8a0561
https://camelotflows.dev/ecommerce-wp,200,indexable,https://camelotflows.dev/ecommerce-wp,en,"WooCommerce Development, Redesign & Migration | Camelot Flows","WooCommerce, built, redesigned, or migrated.",Legacy website service offer,incoming 5; outgoing 36,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/ecommerce-wp,none,Preserve the existing intent and search signals as a secondary or footer route.,LEGACY WITH ACTIVE VALUE,,877,031c47bd3ec41424
https://camelotflows.dev/for-agencies,200,indexable,https://camelotflows.dev/for-agencies,en,White-Label WordPress Developer for Agencies | Camelot Flows,Overflow capacity for agencies who landed more than they staffed.,White-label agency support,incoming 67; outgoing 44,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/for-agencies,none,Preserve the existing intent and search signals as a secondary or footer route.,LEGACY WITH ACTIVE VALUE,,275,3ed3d93f2244ab74
https://camelotflows.dev/industries/hvac-refrigeration,planned,planned indexable,https://camelotflows.dev/industries/hvac-refrigeration,en,Planned localized metadata,Planned localized H1,Automation for HVAC and refrigeration sales and service,"planned links from homepage, related industry/service pages, and footer",Not applicable; new URL,,CREATE,https://camelotflows.dev/industries/hvac-refrigeration,none,Required focused commercial route with complete localized content.,INDUSTRY,,357,162c23dfaeff7077
https://camelotflows.dev/industries/technical-distributors,planned,planned indexable,https://camelotflows.dev/industries/technical-distributors,en,Planned localized metadata,Planned localized H1,Automation for technical equipment distributors and importers,"planned links from homepage, related industry/service pages, and footer",Not applicable; new URL,,CREATE,https://camelotflows.dev/industries/technical-distributors,none,Required focused commercial route with complete localized content.,INDUSTRY,,318,bfa7fcd6c89d4a55
https://camelotflows.dev/launch-site,200,indexable,https://camelotflows.dev/launch-site,en,Launch Site — Live in 7 Days · €390 | Camelot Flows,"Your site, live in 7 days.",Legacy website service offer,incoming 5; outgoing 36,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/launch-site,none,Preserve the existing intent and search signals as a secondary or footer route.,LEGACY WITH ACTIVE VALUE,,727,df8975b256ddac7e
https://camelotflows.dev/legal,200,indexable,https://camelotflows.dev/legal,en,Terms & Conditions | Camelot Flows,Terms & Conditions,Legal and privacy information,incoming 34; outgoing 41,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP,https://camelotflows.dev/legal,none,Required trust and legal route.,TECHNICAL OR UTILITY,,256,6a1b35481bf7f2ad
https://camelotflows.dev/merlin,200,indexable,https://camelotflows.dev/merlin,en,Merlin AI Agent — n8n Automation & Claude API | Camelot Flows,An AI agent that runs your front-of-house.,Legacy AI assistant offer,incoming 123; outgoing 45,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/merlin,none,Preserve the existing intent and search signals as a secondary or footer route.,LEGACY WITH ACTIVE VALUE,,310,be991fca50644c3e
https://camelotflows.dev/merlin-automation,200,indexable,https://camelotflows.dev/merlin-automation,en,Merlin Agent — Your First Digital Employee · €690 | Camelot Flows,"Your first digital employee, deployed.",Legacy AI assistant offer,incoming 5; outgoing 36,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/merlin-automation,none,Preserve the existing intent and search signals as a secondary or footer route.,SUPPORTING SERVICE,,827,d945509b50d8d7b1
https://camelotflows.dev/privacy,200,indexable,https://camelotflows.dev/privacy,en,Privacy Policy | Camelot Flows,Privacy Policy,Legal and privacy information,incoming 6; outgoing 41,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP,https://camelotflows.dev/privacy,none,Required trust and legal route.,TECHNICAL OR UTILITY,,517,5f3c16522a266afd
https://camelotflows.dev/quote-to-order,planned,planned indexable,https://camelotflows.dev/quote-to-order,en,Planned localized metadata,Planned localized H1,Supervised request-to-quotation workflow automation,"planned links from homepage, related industry/service pages, and footer",Not applicable; new URL,,CREATE,https://camelotflows.dev/quote-to-order,none,Required focused commercial route with complete localized content.,CORE COMMERCIAL,,359,90d4bcb137022033
https://camelotflows.dev/ro/,200,indexable,https://camelotflows.dev/ro/,ro,"Dezvoltare web, WooCommerce și automatizări AI | Camelot Flows",Un site pe măsura reputației tale.,AI-assisted sales and operations systems for technical B2B companies,incoming 95; outgoing 54,Not discoverable from public crawl; verify with Search Console/backlink export,,REWRITE IN PLACE,https://camelotflows.dev/ro/,none,Core commercial route in the focused EN/RO/RU architecture.,CORE COMMERCIAL,,110,1225ad59482c5ac7
https://camelotflows.dev/ro/about,200,indexable,https://camelotflows.dev/ro/about,ro,Despre Alexandru Buzi | Camelot Flows,"Un Avalon pentru meseriași, ținut în viață din Moldova cât timp fiul meu Arthur doarme.",Alexandru Buzi and the solo-specialist operating model,incoming 60; outgoing 44,Not discoverable from public crawl; verify with Search Console/backlink export,,REWRITE IN PLACE,https://camelotflows.dev/ro/about,none,Core commercial route in the focused EN/RO/RU architecture.,CORE COMMERCIAL,,694,031e5bfed220bb7f
https://camelotflows.dev/ro/arsenal,200,indexable,https://camelotflows.dev/ro/arsenal,ro,Arsenalul | Camelot Flows,Arsenalul,Supporting tools and technology stack,incoming 118; outgoing 43,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/ro/arsenal,none,Preserve the existing intent and search signals as a secondary or footer route.,LEGACY WITH ACTIVE VALUE,,317,fd760fa2e10da4e2
https://camelotflows.dev/ro/audit,200,indexable,https://camelotflows.dev/ro/audit,ro,Site-ul tău pierde clienți fără să-ți dai seama? | Camelot Flows,Site-ul tău pierde clienți fără să-ți dai seama?,Website audit lead tool,incoming 37; outgoing 42,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/ro/audit,none,Preserve the existing intent and search signals as a secondary or footer route.,SUPPORTING SERVICE,,673,0a638f4b1c64b65d
https://camelotflows.dev/ro/blog/,200,indexable,https://camelotflows.dev/ro/blog/,ro,Rapoarte din Atelier. | Camelot Flows,Rapoarte din Atelier.,Article: Rapoarte din Atelier.,incoming 51; outgoing 71,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP,https://camelotflows.dev/ro/blog/,none,Preserve the article URL and accumulated search signals.,TECHNICAL OR UTILITY,,577,6818f572464cc3c3
https://camelotflows.dev/ro/blog/automate-import-back-office-before-hiring/,200,indexable,https://camelotflows.dev/ro/blog/automate-import-back-office-before-hiring/,ro,Taxa pe Back-Office-ul de Import: 5 Sarcini de Automatizat Înainte să Angajezi | Camelot Flows,Taxa pe Back-Office-ul de Import: 5 Sarcini de Automatizat Înainte să Angajezi,Article: Taxa pe Back-Office-ul de Import: 5 Sarcini de Automatizat Înainte să Angajezi,incoming 8; outgoing 46,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP,https://camelotflows.dev/ro/blog/automate-import-back-office-before-hiring/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,590,ea3e87c932629106
https://camelotflows.dev/ro/blog/building-dreamscape-in-parallel/,200,indexable,https://camelotflows.dev/ro/blog/building-dreamscape-in-parallel/,ro,Construind Dreamscape în Paralel: Cum Mă Ascute Game Dev-ul | Camelot Flows,Construind Dreamscape în Paralel: Cum Mă Ascute Game Dev-ul,Founder notes and game-development learning,incoming 8; outgoing 45,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP,https://camelotflows.dev/ro/blog/building-dreamscape-in-parallel/,none,Preserve search signals; classify as Founder Notes and keep secondary.,FOUNDER NOTE,,479,d5d4746aa48b2425
https://camelotflows.dev/ro/blog/do-i-own-my-website-checklist/,200,indexable,https://camelotflows.dev/ro/blog/do-i-own-my-website-checklist/,ro,Îți Deții Cu Adevărat Site-ul? O Verificare De 5 Minute | Camelot Flows,Îți Deții Cu Adevărat Site-ul? O Verificare De 5 Minute,Article: Îți Deții Cu Adevărat Site-ul? O Verificare De 5 Minute,incoming 7; outgoing 48,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP,https://camelotflows.dev/ro/blog/do-i-own-my-website-checklist/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,901,e96a61d53f9383f5
https://camelotflows.dev/ro/blog/how-chatgpt-decides-which-local-businesses-to-recommend/,200,indexable,https://camelotflows.dev/ro/blog/how-chatgpt-decides-which-local-businesses-to-recommend/,ro,Cum decide ChatGPT ce afaceri locale recomandă | Camelot Flows,Cum decide ChatGPT ce afaceri locale recomandă,Article: Cum decide ChatGPT ce afaceri locale recomandă,incoming 8; outgoing 48,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP,https://camelotflows.dev/ro/blog/how-chatgpt-decides-which-local-businesses-to-recommend/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,1017,9582a48f4a71a520
https://camelotflows.dev/ro/blog/how-i-build-sites-for-clients/,200,indexable,https://camelotflows.dev/ro/blog/how-i-build-sites-for-clients/,ro,"Cum Construiesc Site-uri pentru Clienți: WordPress Simplu, Build-uri Custom și Automatizări AI | Camelot Flows","Cum Construiesc Site-uri pentru Clienți: WordPress Simplu, Build-uri Custom și Automatizări AI","Article: Cum Construiesc Site-uri pentru Clienți: WordPress Simplu, Build-uri Custom și Automatizări AI",incoming 10; outgoing 46,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP,https://camelotflows.dev/ro/blog/how-i-build-sites-for-clients/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,499,5f7c7764c3b24585
https://camelotflows.dev/ro/blog/how-i-build-websites-for-e390-the-starter-page-breakdown/,200,indexable,https://camelotflows.dev/ro/blog/how-i-build-websites-for-e390-the-starter-page-breakdown/,ro,Cum Construiesc Site-uri pentru 390€: Defalcarea Paginii Starter | Camelot Flows,Cum Construiesc Site-uri pentru 390€: Defalcarea Paginii Starter,Article: Cum Construiesc Site-uri pentru 390€: Defalcarea Paginii Starter,incoming 10; outgoing 46,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP,https://camelotflows.dev/ro/blog/how-i-build-websites-for-e390-the-starter-page-breakdown/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,591,0492694ac34b21c3
https://camelotflows.dev/ro/blog/how-to-leave-your-web-agency-without-losing-your-website/,200,indexable,https://camelotflows.dev/ro/blog/how-to-leave-your-web-agency-without-losing-your-website/,ro,Cum să pleci de la agenția web fără să-ți pierzi site-ul | Camelot Flows,Cum să pleci de la agenția web fără să-ți pierzi site-ul,Article: Cum să pleci de la agenția web fără să-ți pierzi site-ul,incoming 8; outgoing 48,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP,https://camelotflows.dev/ro/blog/how-to-leave-your-web-agency-without-losing-your-website/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,991,d575f4df765c6852
https://camelotflows.dev/ro/blog/why-is-my-new-website-not-showing-up-on-google/,200,indexable,https://camelotflows.dev/ro/blog/why-is-my-new-website-not-showing-up-on-google/,ro,De ce nu apare noul meu site pe Google? | Camelot Flows,De ce nu apare noul meu site pe Google?,Article: De ce nu apare noul meu site pe Google?,incoming 7; outgoing 48,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP,https://camelotflows.dev/ro/blog/why-is-my-new-website-not-showing-up-on-google/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,1015,b5babff5c82ca6bc
https://camelotflows.dev/ro/blog/why-wordpress-slow-on-mobile/,200,indexable,https://camelotflows.dev/ro/blog/why-wordpress-slow-on-mobile/,ro,De ce site-ul tău WordPress pare lent pe telefon | Camelot Flows,De ce site-ul tău WordPress pare lent pe telefon,Article: De ce site-ul tău WordPress pare lent pe telefon,incoming 7; outgoing 48,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP,https://camelotflows.dev/ro/blog/why-wordpress-slow-on-mobile/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,1078,8b36a84dc9daece8
https://camelotflows.dev/ro/case-studies,200,indexable,https://camelotflows.dev/ro/case-studies,ro,Studii de caz cu clienți — WordPress & automatizare AI | Camelot Flows,Lucrarea pe care o iau. Rezultatele pe care le livrez.,Verified client work and fictional workflow demonstrations,incoming 124; outgoing 42,Not discoverable from public crawl; verify with Search Console/backlink export,,REWRITE IN PLACE,https://camelotflows.dev/ro/case-studies,none,Core commercial route in the focused EN/RO/RU architecture.,CASE STUDY,,366,a61f6691b772d492
https://camelotflows.dev/ro/contact,200,indexable,https://camelotflows.dev/ro/contact,ro,Contact Camelot Flows | Brief pentru un proiect web sau AI,Spune-mi despre proiect.,Workflow diagnostic and project contact,incoming 255; outgoing 41,Not discoverable from public crawl; verify with Search Console/backlink export,,REWRITE IN PLACE,https://camelotflows.dev/ro/contact,none,Core commercial route in the focused EN/RO/RU architecture.,CORE COMMERCIAL,,344,fc93f9290dcaf208
https://camelotflows.dev/ro/custom-premium,200,indexable,https://camelotflows.dev/ro/custom-premium,ro,Construit pentru brandul tău. Rulează pe inteligență. | Camelot Flows,Construit pentru brandul tău. Rulează pe inteligență.,Legacy website service offer,incoming 5; outgoing 36,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/ro/custom-premium,none,Preserve the existing intent and search signals as a secondary or footer route.,LEGACY WITH ACTIVE VALUE,,990,6f213ead12e62624
https://camelotflows.dev/ro/ecommerce-wp,200,indexable,https://camelotflows.dev/ro/ecommerce-wp,ro,"Dezvoltare, redesign și migrare WooCommerce | Camelot Flows","WooCommerce, construit, refăcut sau migrat.",Legacy website service offer,incoming 5; outgoing 36,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/ro/ecommerce-wp,none,Preserve the existing intent and search signals as a secondary or footer route.,LEGACY WITH ACTIVE VALUE,,918,9fb22f35125c524c
https://camelotflows.dev/ro/for-agencies,200,indexable,https://camelotflows.dev/ro/for-agencies,ro,Pentru agenții | Partener White-Label web și AI,Mâini libere pentru agențiile care au prins mai mult decât pot livra.,White-label agency support,incoming 65; outgoing 44,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/ro/for-agencies,none,Preserve the existing intent and search signals as a secondary or footer route.,LEGACY WITH ACTIVE VALUE,,282,e1cc0b960d946172
https://camelotflows.dev/ro/industries/hvac-refrigeration,planned,planned indexable,https://camelotflows.dev/ro/industries/hvac-refrigeration,ro,Planned localized metadata,Planned localized H1,Automation for HVAC and refrigeration sales and service,"planned links from homepage, related industry/service pages, and footer",Not applicable; new URL,,CREATE,https://camelotflows.dev/ro/industries/hvac-refrigeration,none,Required focused commercial route with complete localized content.,INDUSTRY,,313,7ab32ea46c5b87ee
https://camelotflows.dev/ro/industries/technical-distributors,planned,planned indexable,https://camelotflows.dev/ro/industries/technical-distributors,ro,Planned localized metadata,Planned localized H1,Automation for technical equipment distributors and importers,"planned links from homepage, related industry/service pages, and footer",Not applicable; new URL,,CREATE,https://camelotflows.dev/ro/industries/technical-distributors,none,Required focused commercial route with complete localized content.,INDUSTRY,,279,47ac85a45e84eb4e
https://camelotflows.dev/ro/launch-site,200,indexable,https://camelotflows.dev/ro/launch-site,ro,"Site-ul tău, live în 7 zile. | Camelot Flows","Site-ul tău, live în 7 zile.",Legacy website service offer,incoming 5; outgoing 36,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/ro/launch-site,none,Preserve the existing intent and search signals as a secondary or footer route.,LEGACY WITH ACTIVE VALUE,,777,2d6bfa219f590cbf
https://camelotflows.dev/ro/legal,200,indexable,https://camelotflows.dev/ro/legal,ro,Termeni și condiții | Camelot Flows,Termeni și condiții,Legal and privacy information,incoming 33; outgoing 41,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP,https://camelotflows.dev/ro/legal,none,Required trust and legal route.,TECHNICAL OR UTILITY,,261,68cc26e73726837b
https://camelotflows.dev/ro/merlin,200,indexable,https://camelotflows.dev/ro/merlin,ro,Agenți AI Merlin | Camelot Flows,Un agent AI care îți ține prima linie.,Legacy AI assistant offer,incoming 119; outgoing 45,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/ro/merlin,none,Preserve the existing intent and search signals as a secondary or footer route.,LEGACY WITH ACTIVE VALUE,,319,dda8233ab84927dd
https://camelotflows.dev/ro/merlin-automation,200,indexable,https://camelotflows.dev/ro/merlin-automation,ro,"Primul tău angajat digital, pus la treabă. | Camelot Flows","Primul tău angajat digital, pus la treabă.",Legacy AI assistant offer,incoming 5; outgoing 36,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/ro/merlin-automation,none,Preserve the existing intent and search signals as a secondary or footer route.,SUPPORTING SERVICE,,878,8c9bc187e8b798ca
